month,ad_channel,impressions,Ad_spend,clicks,conversions,revenue,campaign_id,campaign_name
5/10/2022,native_advertising,214962,7036.4,852,162,748265.59,FVO-48664,SchoolSuppliesSpectacular
11/24/2022,display_ads,65022,3651.78,5304,809,924439.79,MZK-73396,SupplyDrive2021
3/15/2022,influencer_partnership,575462,5916.08,9477,150,455576.16,KWU-62963,ClassroomEssentialsCampaign
4/10/2022,video_ads,39793,4676.93,8798,393,435071.26,LVP-77368,LearningToolsDrive
2/13/2022,native_advertising,333064,4876.8,1135,977,830999.28,LXQ-35611,SchoolSuppliesSpectacular
6/4/2022,affiliate_network,855237,3774.41,7668,6,84252.04,VTD-89430,LearningToolsDrive
3/4/2022,display_ads,199723,5979.11,432,335,816979.84,HBX-89416,ClassroomEssentialsCampaign
11/14/2022,affiliate_network,239138,7961.98,9917,97,298725.24,XHH-96334,BackToSchoolBash
3/27/2022,influencer_partnership,448777,4625.78,3478,794,488848.13,SRL-99879,LearningToolsDrive
12/6/2022,content_marketing,314505,5148.98,4986,80,329967.24,EPG-80198,SupplyDrive2021
10/28/2022,content_marketing,428197,7355.71,5745,785,895460.53,CWW-10527,ClassroomEssentialsCampaign
1/4/2022,video_ads,117132,4962.82,3635,856,142508.83,EHS-92127,SupplyDrive2021
7/23/2022,content_marketing,184102,7002.61,5018,940,963199.34,BVE-12987,SchoolSuppliesSpectacular
9/5/2022,display_ads,408392,7145.34,3100,703,909247.69,WAQ-59663,BackToSchoolBash
1/31/2022,affiliate_network,538685,8048.83,4766,184,249413.32,RIK-76780,SchoolSuppliesSpectacular
8/24/2022,content_marketing,360050,1372.91,4331,92,641429.92,IOM-66885,BackToSchoolBash
6/27/2022,search_engine,394408,521.03,3100,71,608254.8,FMO-84924,BackToSchoolBash
2/18/2022,social_media,126326,4342.97,4743,598,953682.44,RIU-61520,BackToSchoolBash
7/18/2022,display_ads,308882,8785.55,7482,32,170952.03,VER-41096,ClassroomEssentialsCampaign
12/13/2022,native_advertising,545387,9415.12,9220,949,420431.31,CPY-89670,SupplyDrive2021
9/19/2022,podcast_sponsorship,931630,2265.25,7675,11,949122.14,LVN-57619,SchoolSuppliesSpectacular
10/16/2022,social_media,781048,3954.31,3670,486,902509.67,QSR-99481,ClassroomEssentialsCampaign
9/4/2022,affiliate_network,615349,7532.53,8998,666,70457.75,ZWF-02270,SupplyDrive2021
5/20/2022,email_marketing,71617,2627.47,3231,574,296080.91,TMA-78038,SupplyDrive2021
4/19/2022,content_marketing,98148,5307.73,8842,279,88796.56,SUE-90580,ClassroomEssentialsCampaign
10/23/2022,affiliate_network,755189,2448.03,5598,650,955232.44,CCT-16204,SupplyDrive2021
2/8/2022,email_marketing,685996,4407.72,3963,826,707733.33,WXQ-40885,SupplyDrive2021
12/17/2022,content_marketing,740191,7019.84,7893,927,133787.76,RNL-35289,SupplyDrive2021
3/15/2022,display_ads,943169,9830.18,301,678,126340.1,JPO-94030,LearningToolsDrive
4/7/2022,podcast_sponsorship,808493,8824.69,1580,166,587774.04,OEF-79823,ClassroomEssentialsCampaign
10/14/2022,podcast_sponsorship,852393,4242.92,6491,565,596406.41,SAS-65908,ClassroomEssentialsCampaign
4/8/2022,video_ads,698634,3668.48,5191,155,369434.33,ETL-48466,LearningToolsDrive
8/25/2022,email_marketing,540485,4859.6,5136,516,973495.5,TGN-09342,SupplyDrive2021
3/5/2022,email_marketing,589362,6286.07,676,626,225688.06,QQL-32403,SupplyDrive2021
11/28/2022,affiliate_network,641733,8831.44,8198,812,75493.57,FTV-07319,SchoolSuppliesSpectacular
6/19/2022,native_advertising,562259,5509.25,4503,668,317423.16,DKQ-88630,LearningToolsDrive
12/9/2022,video_ads,583291,8634.22,1186,471,250003.76,VVM-57603,BackToSchoolBash
6/11/2022,podcast_sponsorship,389725,7886.64,3574,68,914828.09,KNQ-71436,BackToSchoolBash
3/10/2022,search_engine,195809,8091.63,500,421,774834.95,MAO-04884,ClassroomEssentialsCampaign
6/25/2022,podcast_sponsorship,775338,8198.05,3763,542,704751.88,NZB-81477,SupplyDrive2021
10/22/2022,social_media,638844,7446.1,2292,543,867193.76,PWL-10764,LearningToolsDrive
7/11/2022,search_engine,668215,3102.34,2353,785,883454.67,IIZ-88087,SchoolSuppliesSpectacular
7/28/2022,social_media,717271,7709.28,8890,633,578876.27,ZTC-65685,BackToSchoolBash
8/26/2022,podcast_sponsorship,605228,7880.16,9404,208,601270.37,SKD-87619,SupplyDrive2021
10/13/2022,display_ads,125031,5005.36,531,948,965944.23,ODH-94132,BackToSchoolBash
10/20/2022,video_ads,767323,6379.82,1115,769,191524.27,FNE-17435,ClassroomEssentialsCampaign
5/4/2022,display_ads,228748,8237.37,5399,314,567677.86,MPL-37938,ClassroomEssentialsCampaign
12/19/2022,video_ads,603696,4294.31,3445,989,612211.1,YSI-39677,SupplyDrive2021
10/7/2022,email_marketing,973918,2831.81,6758,381,128870.18,PPO-79304,LearningToolsDrive
12/23/2022,podcast_sponsorship,848726,4908.07,9493,217,371976.57,WON-20088,SchoolSuppliesSpectacular
8/31/2022,native_advertising,173360,6861.14,3264,742,652036.7,ZLA-34696,ClassroomEssentialsCampaign
7/4/2022,influencer_partnership,1446,3043.22,8498,20,402864.73,XHI-12134,SupplyDrive2021
12/9/2022,search_engine,583437,4215.79,8888,70,906079.06,NDK-24979,BackToSchoolBash
3/10/2022,influencer_partnership,104586,5192.8,846,42,744637.65,ADH-76053,BackToSchoolBash
5/17/2022,native_advertising,225978,1949.54,4770,496,637981.99,OAD-46109,SchoolSuppliesSpectacular
1/30/2022,social_media,869050,1317.1,7449,138,478454.74,ZZU-50078,ClassroomEssentialsCampaign
4/22/2022,content_marketing,38517,2774.26,3073,819,281387.68,RUZ-98106,ClassroomEssentialsCampaign
12/25/2022,video_ads,362564,1923.53,6054,673,295484.24,CMG-56972,SchoolSuppliesSpectacular
2/10/2022,native_advertising,898745,9995.62,4462,285,444196.13,VYW-68730,ClassroomEssentialsCampaign
4/1/2022,social_media,275182,4296.82,6162,291,335775.4,TSZ-87716,BackToSchoolBash
2/15/2022,display_ads,447799,7533.78,9405,451,139130.69,KAL-57849,ClassroomEssentialsCampaign
4/5/2022,content_marketing,250224,3149.59,4364,542,694591.56,KTA-11944,BackToSchoolBash
7/26/2022,influencer_partnership,515408,182.52,9024,964,286073.58,KTH-95275,ClassroomEssentialsCampaign
3/9/2022,display_ads,646319,9395.36,2917,699,411913.18,MTQ-04707,SupplyDrive2021
6/5/2022,content_marketing,991579,5330.82,270,253,827633.3,EEV-46706,LearningToolsDrive
12/18/2022,search_engine,166645,1724.29,2002,660,69337.29,PUT-20013,SupplyDrive2021
10/19/2022,affiliate_network,270636,1209.71,8784,524,557172.64,QJO-32918,BackToSchoolBash
7/3/2022,affiliate_network,615808,8412.77,4836,147,234834.4,DOJ-23057,LearningToolsDrive
10/15/2022,search_engine,106722,2931.56,2550,630,335687.07,UYU-19212,BackToSchoolBash
2/23/2022,search_engine,679448,5441.17,2272,454,440699.17,GQH-19636,BackToSchoolBash
11/12/2022,video_ads,981410,8651.26,2116,273,733118.08,UVL-08792,ClassroomEssentialsCampaign
9/15/2022,affiliate_network,409837,1961.37,5510,727,165456.19,WON-66033,SupplyDrive2021
2/4/2022,content_marketing,576583,1777.3,7162,69,771500.28,VDD-36631,ClassroomEssentialsCampaign
1/16/2022,social_media,990517,6675.42,8950,866,689654.0,BYH-35278,BackToSchoolBash
11/23/2022,social_media,251209,1979.56,8570,410,961138.45,YQB-43747,BackToSchoolBash
10/20/2022,native_advertising,249883,3001.47,6526,321,323486.75,CHG-79003,BackToSchoolBash
2/19/2022,display_ads,340708,8967.96,503,724,757633.22,ZME-36588,SchoolSuppliesSpectacular
4/17/2022,social_media,801691,4384.45,9069,680,402195.69,YZO-87183,SupplyDrive2021
11/4/2022,affiliate_network,173429,3223.61,6819,302,79581.54,AMD-78238,BackToSchoolBash
8/24/2022,content_marketing,116005,9882.53,6235,244,433357.37,HUR-74969,LearningToolsDrive
7/7/2022,video_ads,147946,501.75,3686,200,681177.21,PMX-08470,LearningToolsDrive
7/13/2022,native_advertising,554299,7038.33,328,570,236807.04,INV-11852,SupplyDrive2021
3/26/2022,content_marketing,862661,2744.07,9762,119,117538.65,EPC-70206,BackToSchoolBash
9/8/2022,email_marketing,121207,3126.44,6580,996,639748.92,JSP-70589,ClassroomEssentialsCampaign
12/22/2022,display_ads,653891,8563.88,3427,282,456441.66,IBD-82103,SchoolSuppliesSpectacular
8/12/2022,display_ads,788230,1013.8,8007,493,469147.67,BMS-24890,SupplyDrive2021
2/27/2022,native_advertising,67091,8481.17,7517,197,989708.11,PSW-22265,ClassroomEssentialsCampaign
6/16/2022,influencer_partnership,616492,3839.43,3858,601,299015.64,PVO-32433,ClassroomEssentialsCampaign
2/7/2022,podcast_sponsorship,5399,2491.73,8441,436,317617.88,UJX-56917,SupplyDrive2021
3/2/2022,search_engine,261310,4990.13,8196,228,204529.17,RFB-42882,ClassroomEssentialsCampaign
8/6/2022,affiliate_network,329486,7452.02,7874,873,107850.84,YSY-30562,LearningToolsDrive
5/19/2022,search_engine,757620,6740.26,8412,886,166304.48,PPO-66531,BackToSchoolBash
2/12/2022,email_marketing,484691,7458.6,6866,279,832197.15,AUV-32549,LearningToolsDrive
10/19/2022,influencer_partnership,374557,3177.74,8403,126,677398.68,YZE-43231,SupplyDrive2021
7/4/2022,podcast_sponsorship,217673,9855.13,6608,896,744576.81,NCP-97209,ClassroomEssentialsCampaign
7/14/2022,social_media,324719,8179.75,6999,227,251876.32,BDZ-92410,BackToSchoolBash
